"Field Name","Field ID","Plant Date","Days from Plant to Imaging Period","Days from Current Day until Imaging event","Predicted Date of Imaing Event","Imaging Event Name"
"Truman-MN","268","2015-04-28","73","64","2015-07-10","Fifth Vegetative"
"Sanborn-MN","262","2015-04-27","75","65","2015-07-11","Fifth Vegetative"
"Henderson-MN","263","2015-04-23","79","65","2015-07-11","Fifth Vegetative"
"Hayfield-MN","265","2015-04-28","75","66","2015-07-12","Fifth Vegetative"
"Menomonie-WI","221","2015-04-30","75","68","2015-07-14","Fifth Vegetative"
"","","","","","",""
"Rogers-TX","226","2015-03-28","71","31","2015-06-07","Reproductive"
"Danevang-TX","228","2015-04-07","63","33","2015-06-09","Reproductive"
"Jones-LA","227","2015-03-30","76","38","2015-06-14","Reproductive"
"Marianna-AR","307","2015-03-31","79","42","2015-06-18","Reproductive"
"Risco-MO","310","2015-04-11","77","51","2015-06-27","Reproductive"
"WalnutRidge-AR","311","2015-04-23","72","58","2015-07-04","Reproductive"
"Jackson-TN","308","2015-05-01","68","62","2015-07-08","Reproductive"
"WamegoIRR-KS","271","2015-04-15","85","63","2015-07-09","Reproductive"
"Springfield-IL","283","2015-04-14","87","64","2015-07-10","Reproductive"
"Kilbourne-IL","282","2015-04-15","88","66","2015-07-12","Reproductive"
"Trenton-IL","285","2015-04-29","75","67","2015-07-13","Reproductive"
"Macomb-IL","287","2015-04-16","88","67","2015-07-13","Reproductive"
"Shipman-IL","290","2015-04-28","77","68","2015-07-14","Reproductive"
"Waco-NE","251","2015-04-16","90","69","2015-07-15","Reproductive"
"BowlingGreen-MO","272","2015-04-28","78","69","2015-07-15","Reproductive"
"CerroGordo-IL","289","2015-04-23","83","69","2015-07-15","Reproductive"
"Dorchester-NE","255","2015-04-22","85","70","2015-07-16","Reproductive"
"Hiawatha-KS","273","2015-05-01","76","70","2015-07-16","Reproductive"
"Richland-IA","277","2015-04-17","91","71","2015-07-17","Reproductive"
"Philo-IL","284","2015-04-30","78","71","2015-07-17","Reproductive"
"Stanwood-IA","281","2015-04-16","93","72","2015-07-18","Reproductive"
"Holdrege-NE","219","2015-04-28","83","74","2015-07-20","Reproductive"
"SiouxCenter-IA","233","2015-04-17","94","74","2015-07-20","Reproductive"
"Aurora","256","2015-05-01","80","74","2015-07-20","Reproductive"
"NorthBend","258","2015-04-30","81","74","2015-07-20","Reproductive"
"Blencoe-IA","229","2015-04-27","85","75","2015-07-21","Reproductive"
"Albion","253","2015-04-27","85","75","2015-07-21","Reproductive"
"Pella-IA","278","2015-04-30","83","76","2015-07-22","Reproductive"
"Wakefield","249","2015-04-29","85","77","2015-07-23","Reproductive"
"Plainview","259","2015-04-29","85","77","2015-07-23","Reproductive"
"North Platte-NE","220","2015-05-01","85","79","2015-07-25","Reproductive"
"Elgin-MN","261","2015-04-17","100","80","2015-07-26","Reproductive"
"Truman-MN","268","2015-04-28","89","80","2015-07-26","Reproductive"
"Arcadia-IA","274","2015-04-29","88","80","2015-07-26","Reproductive"
"Janesville-WI","223","2015-04-29","89","81","2015-07-27","Reproductive"
"Worthington-MN","230","2015-04-23","95","81","2015-07-27","Reproductive"
"Sanborn-MN","262","2015-04-27","92","82","2015-07-28","Reproductive"
"Henderson-MN","263","2015-04-23","97","83","2015-07-29","Reproductive"
"Hayfield-MN","265","2015-04-28","93","84","2015-07-30","Reproductive"
"Menomonie-WI","221","2015-04-30","93","86","2015-08-01","Reproductive"
"","","","","","",""
